"ROLE_ID","FUNCTION_CODE","ACCESS_RIGHT","CREATE_DATE","CREATOR_ACC_ID","UPDATE_DATE","UPDATE_BY_ACC_ID","OPTLOCK_VER","BEFORE_ACTIVE","AFTER_ACTIVE"
"2","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:33.592000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"2","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:33.620000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:22.033000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:22.063000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"4","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:16.239000","4028816958dd6d840158e1a181f90002","3","NACT","NACT"
"4","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:58:16.268000","4028816958dd6d840158e1a181f90002","3","NACT","NACT"
"5","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:57:59.816000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"5","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:57:59.846000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"6","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:57:54.195000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"6","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-09 17:57:54.224000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"7","USER_ACCOUNT","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-21 11:19:59.684000","4028816958dd6d840158e1a181f90001","4","NACT","NACT"
"7","USER_ROLE","D","2018-08-13 09:47:00.000000","4028816958dd6d840158e1a181f90000","2018-11-21 11:19:59.714000","4028816958dd6d840158e1a181f90001","4","NACT","NACT"
"8","USER_ACCOUNT","RW","2018-11-07 15:29:25.088000",NULL,"2018-12-25 10:17:02.284000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"8","USER_ROLE","RW","2018-11-07 15:29:25.074000",NULL,"2018-12-25 10:17:02.329000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"9","USER_ACCOUNT","RW","2018-11-12 11:28:25.580000",NULL,"2018-12-25 10:17:14.843000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"9","USER_ROLE","RW","2018-11-12 11:28:25.575000",NULL,"2018-12-25 10:17:14.871000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"10","USER_ACCOUNT","D","2018-11-09 18:10:34.055000",NULL,"2018-11-21 09:55:32.101000","4028816958dd6d840158e1a181f90002","1","NACT","NACT"
"10","USER_ROLE","D","2018-11-09 18:10:34.052000",NULL,"2018-11-21 09:55:32.135000","4028816958dd6d840158e1a181f90002","1","NACT","NACT"
"11","USER_ACCOUNT","D","2018-11-09 18:10:29.909000",NULL,"2018-11-21 09:55:48.403000","4028816958dd6d840158e1a181f90002","1","NACT","NACT"
"11","USER_ROLE","D","2018-11-09 18:10:29.907000",NULL,"2018-11-21 09:55:48.437000","4028816958dd6d840158e1a181f90002","1","NACT","NACT"
