"ROLE_ID","PERMISSION_ID","ACCESS_RIGHT","CREATE_DATE","CREATOR_ACC_ID","UPDATE_DATE","UPDATE_BY_ACC_ID","OPTLOCK_VER","PERMISSION_NAME","FUNCTION_CODE","BEFORE_ACTIVE","AFTER_ACTIVE"
"2","1","D","2018-11-07 15:28:48.742000",NULL,"2018-11-09 17:58:33.595000","4028816958dd6d840158e1a181f90002","2","CREATE","USER_ACCOUNT","NACT","NACT"
"2","1","D","2018-11-07 15:28:48.732000",NULL,"2018-11-09 17:58:33.623000","4028816958dd6d840158e1a181f90002","2","CREATE","USER_ROLE","NACT","NACT"
"2","2","D","2018-11-07 15:28:48.745000",NULL,"2018-11-09 17:58:33.598000","4028816958dd6d840158e1a181f90002","2","VIEW","USER_ACCOUNT","NACT","NACT"
"2","2","D","2018-11-07 15:28:48.734000",NULL,"2018-11-09 17:58:33.626000","4028816958dd6d840158e1a181f90002","2","VIEW","USER_ROLE","NACT","NACT"
"2","4","D","2018-11-07 15:28:48.747000",NULL,"2018-11-09 17:58:33.601000","4028816958dd6d840158e1a181f90002","2","EDIT","USER_ACCOUNT","NACT","NACT"
"2","4","D","2018-11-07 15:28:48.737000",NULL,"2018-11-09 17:58:33.629000","4028816958dd6d840158e1a181f90002","2","EDIT","USER_ROLE","NACT","NACT"
"2","8","D","2018-11-07 15:28:48.750000",NULL,"2018-11-09 17:58:33.604000","4028816958dd6d840158e1a181f90002","2","DELETE","USER_ACCOUNT","NACT","NACT"
"2","8","D","2018-11-07 15:28:48.739000",NULL,"2018-11-09 17:58:33.632000","4028816958dd6d840158e1a181f90002","2","DELETE","USER_ROLE","NACT","NACT"
"2","64","D","2018-11-07 15:28:48.753000",NULL,"2018-11-09 17:58:33.607000","4028816958dd6d840158e1a181f90002","2","ASSIGN USER ROLE","USER_ACCOUNT","NACT","NACT"
"2","256","D","2018-11-07 15:28:48.759000",NULL,"2018-11-09 17:58:33.612000","4028816958dd6d840158e1a181f90002","2","CHANGE STATUS","USER_ACCOUNT","NACT","NACT"
"2","512","D","2018-11-07 15:28:48.761000",NULL,"2018-11-09 17:58:33.615000","4028816958dd6d840158e1a181f90002","2","RESET PASSWORD","USER_ACCOUNT","NACT","NACT"
"2","1024","D","2018-11-07 15:28:48.764000",NULL,"2018-11-09 17:58:33.617000","4028816958dd6d840158e1a181f90002","2","RE-SEND ACTIVATIOR EMAIL","USER_ACCOUNT","NACT","NACT"
"3","1","D","2018-11-07 15:28:40.796000",NULL,"2018-11-09 17:58:22.037000","4028816958dd6d840158e1a181f90002","2","CREATE","USER_ACCOUNT","NACT","NACT"
"3","1","D","2018-11-07 15:28:40.782000",NULL,"2018-11-09 17:58:22.066000","4028816958dd6d840158e1a181f90002","2","CREATE","USER_ROLE","NACT","NACT"
"3","2","D","2018-11-07 15:28:40.799000",NULL,"2018-11-09 17:58:22.040000","4028816958dd6d840158e1a181f90002","2","VIEW","USER_ACCOUNT","NACT","NACT"
"3","2","D","2018-11-07 15:28:40.785000",NULL,"2018-11-09 17:58:22.068000","4028816958dd6d840158e1a181f90002","2","VIEW","USER_ROLE","NACT","NACT"
"3","4","D","2018-11-07 15:28:40.802000",NULL,"2018-11-09 17:58:22.043000","4028816958dd6d840158e1a181f90002","2","EDIT","USER_ACCOUNT","NACT","NACT"
"3","4","D","2018-11-07 15:28:40.789000",NULL,"2018-11-09 17:58:22.071000","4028816958dd6d840158e1a181f90002","2","EDIT","USER_ROLE","NACT","NACT"
"3","8","D","2018-11-07 15:28:40.805000",NULL,"2018-11-09 17:58:22.046000","4028816958dd6d840158e1a181f90002","2","DELETE","USER_ACCOUNT","NACT","NACT"
"3","8","D","2018-11-07 15:28:40.792000",NULL,"2018-11-09 17:58:22.076000","4028816958dd6d840158e1a181f90002","2","DELETE","USER_ROLE","NACT","NACT"
"3","64","D","2018-11-07 15:28:40.808000",NULL,"2018-11-09 17:58:22.049000","4028816958dd6d840158e1a181f90002","2","ASSIGN USER ROLE","USER_ACCOUNT","NACT","NACT"
"3","256","D","2018-11-07 15:28:40.815000",NULL,"2018-11-09 17:58:22.055000","4028816958dd6d840158e1a181f90002","2","CHANGE STATUS","USER_ACCOUNT","NACT","NACT"
"3","512","D","2018-11-07 15:28:40.819000",NULL,"2018-11-09 17:58:22.058000","4028816958dd6d840158e1a181f90002","2","RESET PASSWORD","USER_ACCOUNT","NACT","NACT"
"3","1024","D","2018-11-07 15:28:40.822000",NULL,"2018-11-09 17:58:22.061000","4028816958dd6d840158e1a181f90002","2","RE-SEND ACTIVATIOR EMAIL","USER_ACCOUNT","NACT","NACT"
"4","1","D","2018-11-07 15:28:23.144000",NULL,"2018-11-09 17:58:16.241000","4028816958dd6d840158e1a181f90002","3","CREATE","USER_ACCOUNT","NACT","NACT"
