"CODE","APPLICATION_CODE","DESCRIPTION","PERMISSION_SUM","OPTIMISTICLOCKVERSION","EXTERNAL"
"ADJUSTMENT","APV","Adjustment Approval	","16","0","0"
"API_GATEWAY_SETTING","APV","API Gateway Setting Approval","16","0","0"
"APPROVAL_RECORD_LIST","APV","Approval Record List","16","0","0"
"CASH_OUT","APV","CASH_OUT","16","0","0"
"CREATE_INDIVIDUAL_MONEY_POOL","APV","Create Individual Money Pool Approval","16","0","0"
"CREATE_PARTICIPANT","APV","Create Participant Approval","16","0","0"
"DEPOSIT","APV","DEPOSIT","16","0","0"
"EDIT_MONEY_POOL_STATUS_AND_ALERT_LINE","APV","Edit Money Pool Status and Alert Line Approval","16","0","0"
"EXCHANGE_RATE","APV","Edit/upload Exchange Rate Approval","16","0","0"
"FULL_COMPANY_INFORMATION","APV","Full Company Information Approval","16","0","0"
"MONEY_POOL_APPROVAL_LIST","APV","Money Pool Approval List","16","0","0"
"PARTICIPANT_MANAGEMENT_APPROVAL_LIST","APV","Participant Management Approval List","16","0","0"
"PARTICIPANT_STATUS_CHANGE","APV","Participant status change","16","0","0"
"PREPRODUCTION","APV","preproduction","16","0","0"
"PRODUCTION","APV","production","16","0","0"
"SERVICE_MARKUP","APV","Service markup","16","0","0"
"SERVICE_POOL_ASSIGNMENT","APV","Service Pool Assignment Approval","16","0","0"
"SERVICE_SETTING","APV","Service Setting Approval","16","0","0"
"SETTLEMENT_CUT_OFF_TIME_SETTING","APV","Settlement Cut-off time Setting Approval","16","0","0"
"USER_ACCOUNT","ANA","Account Management","335","0","1"
"USER_ROLE","ANA","Role Management","15","0","1"
"VOID_CHARGE","APV","Void Charge Approval","16","0","0"
"VOID_CHARGE_CHARGE_FEE","APV","Void Charge & Charge Fee","16","0","0"
"VOID_CHARGE_FEE","APV","Void Charge Fee Approval","16","0","0"
