"CODE","APPLICATION_CODE","DESCRIPTION","PERMISSION_SUM","OPTIMISTICLOCKVERSION","EXTERNAL"
"DEPLOY_TO_PRODUCTION","EWP","Deploy to production","15","0","0"
"PARTICIPANT_API_GATEWAY_SETTING","EWP","Participant - API Gateway Setting","15","0","1"
"PARTICIPANT_FULL_COMPANY_INFORMATION","EWP","Participant - Full Company Information","15","0","1"
"PARTICIPANT_LIST","EWP","Participant - List","15","0","1"
"PARTICIPANT_SERVICE_ASSIGNMENT","EWP","Participant - Service Assignment","15","0","1"
"PARTICIPANT_SERVICE_SETTING","EWP","Participant - Service Setting","15","0","1"
"PREPRODUCTION","EWP","preproduction","15","0","1"
"PRODUCTION","EWP","production","15","0","1"
"SETTLEMENT_CUT_OFF_TIME_SETTING","EWP","Settlement Cut-off time setting","15","0","1"
"USER_ACCOUNT","ANA","Account management","335","0","1"
"USER_ROLE","ANA","Role management","15","0","1"
