"ID","APPLICATION_CODE","NAME","ROLE_TYPE","DESCRIPTION","CREATE_DATE","LAST_MODIFY_DATE","TYPE","IS_ACTIVE","UPDATED_BY","UPDATED_TIME","IP_ADDRESS","OPTIMISTICLOCKVERSION","MID","IS_DEFAULT"
"2","EWP","Compliance Team Operator","COMPLIANCE_TEAM_OPERATOR",NULL,"2018-09-03 14:57:26.553000","2018-11-07 15:28:52.873000","I","1","sysadmin2","2018-11-07 15:28:52.873000","192.168.1.205","1",NULL,"Y"
"3","EWP","Compliance Team Manager","COMPLIANCE_TEAM_MANAGER",NULL,"2018-09-03 14:57:56.823000","2018-11-07 15:28:45.305000","I","1","sysadmin2","2018-11-07 15:28:45.305000","192.168.1.205","1",NULL,"Y"
"4","EWP","Finance Team Operator","FINANCE_TEAM_OPERATOR",NULL,"2018-09-03 14:59:09.863000","2018-11-07 15:28:38.533000","I","1","sysadmin2","2018-11-07 15:28:38.533000","192.168.1.205","2",NULL,"Y"
"5","EWP","Finance Team Manager","FINANCE_TEAM_MANAGER",NULL,"2018-09-03 15:00:38.007000","2018-11-07 15:28:20.923000","I","1","sysadmin2","2018-11-07 15:28:20.923000","192.168.1.205","1",NULL,"Y"
"6","EWP","Operation Team Operator","OPERATOR_TEAM_OPERATOR",NULL,"2018-09-03 15:15:18.829000","2018-11-07 15:28:12.230000","I","1","sysadmin2","2018-11-07 15:28:12.230000","192.168.1.205","1",NULL,"Y"
"7","EWP","Operation Team Manager","OPERATOR_TEAM_MANAGER",NULL,"2018-09-03 15:16:39.100000","2018-11-07 15:27:49.454000","I","1","sysadmin2","2018-11-07 15:27:49.454000","192.168.1.205","1",NULL,"Y"
"8","EWP","GEA Admin","GEA_ADMIN","","2018-08-24 17:06:54.417000","2018-11-07 15:29:30.334000","I","1","sysadmin2","2018-11-07 15:29:30.334000","192.168.1.205","6",NULL,"Y"
"9","EWP","eWallet Participant Admin","EWALLET_PARTICIPANT_ADMIN","","2018-08-24 17:07:16.924000","2018-11-07 15:29:19.794000","E","1","sysadmin2","2018-11-07 15:29:19.794000","192.168.1.205","10",NULL,"Y"
"10","EWP","eWallet Participant Manager","EWALLET_PARTICIPANT_MANAGER","","2018-08-24 17:08:36.405000","2018-11-07 15:29:09.001000","E","1","sysadmin2","2018-11-07 15:29:09.001000","192.168.1.205","3",NULL,"Y"
"11","EWP","eWallet Participant Operator","EWALLET_PARTICIPANT_OPERATOR","","2018-08-24 17:09:16.545000","2018-11-07 15:29:00.745000","E","1","sysadmin2","2018-11-07 15:29:00.745000","192.168.1.205","2",NULL,"Y"
