"ROLE_ID","FUNCTION_CODE","ACCESS_RIGHT","CREATE_DATE","CREATOR_ACC_ID","UPDATE_DATE","UPDATE_BY_ACC_ID","OPTLOCK_VER","BEFORE_ACTIVE","AFTER_ACTIVE"
"2","ADJUSTMENT","","2018-11-08 16:53:34.490000",NULL,NULL,NULL,"0",NULL,NULL
"2","DEPOSIT_CASH_OUT","","2018-11-08 16:53:34.478000",NULL,NULL,NULL,"0",NULL,NULL
"2","ENQUIRY","","2018-11-08 16:53:34.467000",NULL,NULL,NULL,"0",NULL,NULL
"2","MONEY_POOL_DETAIL_TRANSACTION","","2018-11-08 16:53:34.455000",NULL,NULL,NULL,"0",NULL,NULL
"2","MONEY_POOL_LISTING","","2018-11-08 16:53:34.443000",NULL,NULL,NULL,"0",NULL,NULL
"2","PREPRODUCTION","","2018-11-08 16:53:34.432000",NULL,NULL,NULL,"0",NULL,NULL
"2","PRODUCTION","","2018-11-08 16:53:34.419000",NULL,NULL,NULL,"0",NULL,NULL
"2","USER_ACCOUNT","","2018-11-08 16:53:34.402000",NULL,NULL,NULL,"0",NULL,NULL
"2","USER_ROLE","","2018-11-08 16:53:34.388000",NULL,NULL,NULL,"0",NULL,NULL
"3","ADJUSTMENT","D","2018-11-08 16:53:42.145000",NULL,"2018-11-12 11:10:42.796000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","DEPOSIT_CASH_OUT","","2018-11-08 16:53:42.133000",NULL,"2018-11-12 11:10:42.842000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","ENQUIRY","D","2018-11-08 16:53:42.122000",NULL,"2018-11-12 11:10:42.858000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","MONEY_POOL_DETAIL_TRANSACTION","D","2018-11-08 16:53:42.110000",NULL,"2018-11-12 11:10:42.877000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","MONEY_POOL_LISTING","D","2018-11-08 16:53:42.099000",NULL,"2018-11-12 11:10:42.897000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","PREPRODUCTION","D","2018-11-08 16:53:42.087000",NULL,"2018-11-12 11:10:42.913000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","PRODUCTION","D","2018-11-08 16:53:42.075000",NULL,"2018-11-12 11:10:42.929000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","USER_ACCOUNT","","2018-11-08 16:53:42.058000",NULL,"2018-11-12 11:10:42.944000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"3","USER_ROLE","","2018-11-08 16:53:42.046000",NULL,"2018-11-12 11:10:42.966000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"4","ADJUSTMENT","RW","2018-11-08 16:53:54.514000",NULL,"2019-02-15 13:26:59.610000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","DEPOSIT_CASH_OUT","RW","2018-11-08 16:53:54.501000",NULL,"2019-02-15 13:26:59.623000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","ENQUIRY","RW","2018-11-08 16:53:54.487000",NULL,"2019-02-15 13:26:59.638000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","MONEY_POOL_DETAIL_TRANSACTION","RW","2018-11-08 16:53:54.472000",NULL,"2019-02-15 13:26:59.653000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","MONEY_POOL_LISTING","RW","2018-11-08 16:53:54.457000",NULL,"2019-02-15 13:26:59.668000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","PREPRODUCTION","RW","2018-11-08 16:53:54.441000",NULL,"2019-02-15 13:26:59.684000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","PRODUCTION","RW","2018-11-08 16:53:54.426000",NULL,"2019-02-15 13:26:59.700000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","USER_ACCOUNT","","2018-11-08 16:53:54.407000",NULL,"2019-02-15 13:26:59.715000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"4","USER_ROLE","","2018-11-08 16:53:54.392000",NULL,"2019-02-15 13:26:59.737000","4028816958dd6d840158e1a181f90002","7","NACT","NACT"
"5","ADJUSTMENT","RW","2018-11-08 16:55:26.055000",NULL,"2019-02-15 13:27:07.652000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","DEPOSIT_CASH_OUT","RW","2018-11-08 16:55:26.041000",NULL,"2019-02-15 13:27:07.667000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","ENQUIRY","RW","2018-11-08 16:55:26.026000",NULL,"2019-02-15 13:27:07.682000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","MONEY_POOL_DETAIL_TRANSACTION","RW","2018-11-08 16:55:26.012000",NULL,"2019-02-15 13:27:07.699000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","MONEY_POOL_LISTING","RW","2018-11-08 16:55:25.999000",NULL,"2019-02-15 13:27:07.719000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","PREPRODUCTION","RW","2018-11-08 16:55:25.985000",NULL,"2019-02-15 13:27:07.738000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","PRODUCTION","RW","2018-11-08 16:55:25.971000",NULL,"2019-02-15 13:27:07.753000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","USER_ACCOUNT","","2018-11-08 16:55:25.952000",NULL,"2019-02-15 13:27:07.768000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"5","USER_ROLE","","2018-11-08 16:55:25.938000",NULL,"2019-02-15 13:27:07.790000","4028816958dd6d840158e1a181f90002","6","NACT","NACT"
"6","ADJUSTMENT","RW","2018-11-08 16:56:41.715000",NULL,"2019-02-15 13:27:53.866000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","DEPOSIT_CASH_OUT","RW","2018-11-08 16:56:41.702000",NULL,"2019-02-15 13:27:53.880000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","ENQUIRY","RW","2018-11-08 16:56:41.687000",NULL,"2019-02-15 13:27:53.896000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","MONEY_POOL_DETAIL_TRANSACTION","RW","2018-11-08 16:56:41.677000",NULL,"2019-02-15 13:27:53.914000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","MONEY_POOL_LISTING","RW","2018-11-08 16:56:41.664000",NULL,"2019-02-15 13:27:53.929000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","PREPRODUCTION","RW","2018-11-08 16:56:41.651000",NULL,"2019-02-15 13:27:53.944000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","PRODUCTION","RW","2018-11-08 16:56:41.639000",NULL,"2019-02-15 13:27:53.959000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","USER_ACCOUNT","","2018-11-08 16:56:41.621000",NULL,"2019-02-15 13:27:53.975000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"6","USER_ROLE","","2018-11-08 16:56:41.608000",NULL,"2019-02-15 13:27:53.997000","4028816958dd6d840158e1a181f90002","16","NACT","NACT"
"7","ADJUSTMENT","RW","2018-11-08 09:42:13.870000",NULL,"2019-03-01 09:38:08.593000","ff808081692ecd2001693261af030001","2","NACT","NACT"
"7","DEPOSIT_CASH_OUT","RW","2018-11-08 09:42:13.828000",NULL,"2019-03-01 09:38:08.609000","ff808081692ecd2001693261af030001","2","NACT","NACT"
"7","ENQUIRY","RW","2018-11-08 09:42:13.812000",NULL,"2019-03-01 09:38:08.621000","ff808081692ecd2001693261af030001","2","NACT","NACT"
"7","MONEY_POOL_DETAIL_TRANSACTION","RW","2018-11-08 09:42:13.797000",NULL,"2019-03-01 09:38:08.634000","ff808081692ecd2001693261af030001","2","NACT","NACT"
