"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"4","ADJUSTMENT","15","0"
"4","DEPOSIT_CASH_OUT","15","0"
"4","ENQUIRY","15","0"
"4","MONEY_POOL_DETAIL_TRANSACTION","2","0"
"4","MONEY_POOL_LISTING","15","0"
"4","PREPRODUCTION","15","0"
"4","PRODUCTION","15","0"
"5","ADJUSTMENT","15","0"
"5","DEPOSIT_CASH_OUT","15","0"
"5","ENQUIRY","15","0"
"5","MONEY_POOL_DETAIL_TRANSACTION","2","0"
"5","MONEY_POOL_LISTING","15","0"
"5","PREPRODUCTION","15","0"
"5","PRODUCTION","15","0"
"6","ADJUSTMENT","15","0"
"6","DEPOSIT_CASH_OUT","15","0"
"6","ENQUIRY","15","0"
"6","MONEY_POOL_DETAIL_TRANSACTION","15","0"
"6","MONEY_POOL_LISTING","15","0"
"6","PREPRODUCTION","15","0"
"6","PRODUCTION","15","0"
"7","ADJUSTMENT","15","0"
"7","DEPOSIT_CASH_OUT","15","0"
"7","ENQUIRY","15","0"
"7","MONEY_POOL_DETAIL_TRANSACTION","15","0"
"7","MONEY_POOL_LISTING","15","0"
"7","PREPRODUCTION","15","0"
"7","PRODUCTION","15","0"
"8","USER_ACCOUNT","322","0"
"8","USER_ROLE","15","0"
"9","USER_ACCOUNT","335","0"
"9","USER_ROLE","15","0"
"10","ENQUIRY","15","0"
"10","MONEY_POOL_DETAIL_TRANSACTION","2","0"
"10","MONEY_POOL_LISTING","2","0"
"10","PREPRODUCTION","15","0"
"10","PRODUCTION","15","0"
"11","ENQUIRY","15","0"
"11","MONEY_POOL_DETAIL_TRANSACTION","2","0"
"11","MONEY_POOL_LISTING","2","0"
"11","PREPRODUCTION","15","0"
"11","PRODUCTION","15","0"
