"ID","APPLICATION_CODE","NAME","ROLE_TYPE","DESCRIPTION","CREATE_DATE","LAST_MODIFY_DATE","TYPE","IS_ACTIVE","UPDATED_BY","UPDATED_TIME","IP_ADDRESS","OPTIMISTICLOCKVERSION","MID","IS_DEFAULT"
"13","ORD","Operation Team Manager","OPERATOR_TEAM_MANAGER",NULL,"2018-12-05 13:45:56.596000","2018-12-05 13:45:56.596000","I","1","sysadmin1","2018-12-05 13:45:56.596000","192.168.1.208","0",NULL,"Y"
"14","ORD","Operation Team Operator","OPERATOR_TEAM_OPERATOR",NULL,"2018-12-05 13:46:23.091000","2018-12-05 13:46:23.091000","I","1","sysadmin1","2018-12-05 13:46:23.091000","192.168.1.208","0",NULL,"Y"
"15","ORD","Finance Team Manager","FINANCE_TEAM_MANAGER",NULL,"2018-12-05 13:46:47.515000","2018-12-05 13:46:47.515000","I","1","sysadmin1","2018-12-05 13:46:47.515000","192.168.1.208","0",NULL,"Y"
"16","ORD","Finance Team Operator","FINANCE_TEAM_OPERATOR",NULL,"2018-12-05 13:47:08.907000","2018-12-05 13:47:08.907000","I","1","sysadmin1","2018-12-05 13:47:08.907000","192.168.1.208","0",NULL,"Y"
"17","ORD","Compliance Team Manager","COMPLIANCE_TEAM_MANAGER",NULL,"2018-12-05 13:47:34.851000","2018-12-05 13:47:34.851000","I","1","sysadmin1","2018-12-05 13:47:34.851000","192.168.1.208","0",NULL,"Y"
"18","ORD","Compliance Team Operator","COMPLIANCE_TEAM_OPERATOR",NULL,"2018-12-05 13:47:50.598000","2018-12-05 13:47:50.598000","I","1","sysadmin1","2018-12-05 13:47:50.598000","192.168.1.208","0",NULL,"Y"
"19","ORD","GEA Admin","GEA_ADMIN",NULL,"2018-12-05 13:48:18.949000","2018-12-05 13:48:18.949000","I","1","sysadmin1","2018-12-05 13:48:18.949000","192.168.1.208","0",NULL,"Y"
"20","ORD","eWallet Participant Admin","EWALLET_PARTICIPANT_ADMIN",NULL,"2018-12-05 13:48:47.502000","2018-12-05 13:48:47.502000","E","1","sysadmin1","2018-12-05 13:48:59.429000","192.168.1.208","1",NULL,"Y"
"21","ORD","eWallet Participant Manager","EWALLET_PARTICIPANT_MANAGER",NULL,"2018-12-05 13:49:48.110000","2018-12-05 13:49:48.110000","E","1","sysadmin1","2018-12-05 13:49:48.110000","192.168.1.208","0",NULL,"Y"
"22","ORD","eWallet Participant Operator","EWALLET_PARTICIPANT_OPERATOR",NULL,"2018-12-05 13:50:06.105000","2018-12-05 13:50:06.105000","E","1","sysadmin1","2018-12-05 13:50:06.105000","192.168.1.208","0",NULL,"Y"
