"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"13","ENQUIRY_ORDER_DETAIL","15","0"
"13","ENQUIRY_ORDER_LISTING","15","0"
"13","PREPRODUCTION","1","0"
"13","PRODUCTION","1","0"
"13","VOID_CHARGE","15","0"
"13","VOID_CHARGE & CHARGE_FEE","15","0"
"13","VOID_CHARGE_FEE","15","0"
"14","ENQUIRY_ORDER_DETAIL","15","0"
"14","ENQUIRY_ORDER_LISTING","15","0"
"14","PREPRODUCTION","15","0"
"14","PRODUCTION","15","0"
"14","VOID_CHARGE","15","0"
"14","VOID_CHARGE & CHARGE_FEE","15","0"
"14","VOID_CHARGE_FEE","15","0"
"15","ENQUIRY_ORDER_DETAIL","15","0"
"15","ENQUIRY_ORDER_LISTING","15","0"
"15","PREPRODUCTION","15","0"
"15","PRODUCTION","15","0"
"15","VOID_CHARGE","15","0"
"15","VOID_CHARGE & CHARGE_FEE","15","0"
"15","VOID_CHARGE_FEE","15","0"
"16","ENQUIRY_ORDER_DETAIL","15","0"
"16","ENQUIRY_ORDER_LISTING","15","0"
"16","PREPRODUCTION","15","0"
"16","PRODUCTION","15","0"
"16","VOID_CHARGE","15","0"
"16","VOID_CHARGE & CHARGE_FEE","15","0"
"16","VOID_CHARGE_FEE","15","0"
"17","ENQUIRY_ORDER_DETAIL","15","0"
"17","ENQUIRY_ORDER_LISTING","15","0"
"17","PREPRODUCTION","15","0"
"17","PRODUCTION","15","0"
"18","ENQUIRY_ORDER_DETAIL","15","0"
"18","ENQUIRY_ORDER_LISTING","15","0"
"18","PREPRODUCTION","15","0"
"18","PRODUCTION","15","0"
"19","USER_ACCOUNT","322","0"
"19","USER_ROLE","15","0"
"20","USER_ACCOUNT","322","0"
"20","USER_ROLE","15","0"
"21","ENQUIRY_ORDER_DETAIL","15","0"
"21","ENQUIRY_ORDER_LISTING","15","0"
"21","PREPRODUCTION","15","0"
"21","PRODUCTION","15","0"
"22","ENQUIRY_ORDER_DETAIL","15","0"
"22","ENQUIRY_ORDER_LISTING","15","0"
"22","PREPRODUCTION","15","0"
"22","PRODUCTION","15","0"
