"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"1","USER_ACCOUNT","66","0"
"1","USER_ROLE","15","0"
"3","USER_ACCOUNT","1935","0"
"6","USER_ACCOUNT","66","0"
"6","USER_ROLE","15","0"
"4","USER_ACCOUNT","1935","0"
"5","USER_ACCOUNT","1999","0"
"5","USER_ROLE","15","0"
"5","SMS_SERVICE_PROVIDER_REPORT","2","0"
"5","SMS_SERVICE_REPORT_SENT","2","0"
"5","SMS_SERVICE_REPORT_SENDER","2","0"
"5","SMS_SERVICE_TOTAL_DAILY","2","0"
"5","SMS_SERVICE_TOTAL_MONTH","2","0"
"5","SMS_SERVICE_PROVIDER","6","0"
