"ROLE_ID","PERMISSION_ID","ACCESS_RIGHT","CREATE_DATE","CREATOR_ACC_ID","UPDATE_DATE","UPDATE_BY_ACC_ID","OPTLOCK_VER","PERMISSION_NAME","FUNCTION_CODE","BEFORE_ACTIVE","AFTER_ACTIVE"
"4","64","D","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","ASSIGN USER ROLE","USER_ACCOUNT","NACT","NACT"
"4","128","E","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","SSO CONECTION","USER_ACCOUNT","ACT","ACT"
"4","256","E","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","CHANGE STATUS","USER_ACCOUNT","ACT","ACT"
"4","512","E","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","RESET PASSWORD","USER_ACCOUNT","ACT","ACT"
"4","1024","E","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","RE-SEND ACTIVATIOR EMAIL","USER_ACCOUNT","ACT","ACT"
"4","1","D","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","CREATE","USER_ROLE","NACT","NACT"
"4","2","D","2018-08-15 13:51:51",,"2018-08-15 13:51:51","4028816958dd6d840158e1a181f90005","1","VIEW","USER_ROLE","NACT","NACT"
"4","4","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","EDIT","USER_ROLE","NACT","NACT"
"4","8","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","DELETE","USER_ROLE","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_PROVIDER_REPORT","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_REPORT_SENT","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_REPORT_SENDER","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_TOTAL_DAILY","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_TOTAL_MONTH","NACT","NACT"
"4","2","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_PROVIDER","NACT","NACT"
"4","4","D","2018-08-15 13:51:50",,"2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","EDIT","SMS_SERVICE_PROVIDER","NACT","NACT"
"1","1","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","CREATE","USER_ACCOUNT","NACT","NACT"
"1","2","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","USER_ACCOUNT","ACT","ACT"
"1","4","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","EDIT","USER_ACCOUNT","NACT","NACT"
"1","8","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","DELETE","USER_ACCOUNT","NACT","NACT"
"1","64","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","ASSIGN USER ROLE","USER_ACCOUNT","ACT","ACT"
"1","128","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","SSO CONECTION","USER_ACCOUNT","NACT","NACT"
"1","256","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","CHANGE STATUS","USER_ACCOUNT","NACT","NACT"
"1","512","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","RESET PASSWORD","USER_ACCOUNT","NACT","NACT"
"1","1024","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","RE-SEND ACTIVATIOR EMAIL","USER_ACCOUNT","NACT","NACT"
"1","1","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","CREATE","USER_ROLE","ACT","ACT"
"1","2","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","USER_ROLE","ACT","ACT"
"1","4","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","EDIT","USER_ROLE","ACT","ACT"
"1","8","E","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","DELETE","USER_ROLE","ACT","ACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_PROVIDER_REPORT","NACT","NACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_REPORT_SENT","NACT","NACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_REPORT_SENDER","NACT","NACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_TOTAL_DAILY","NACT","NACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_TOTAL_MONTH","NACT","NACT"
"1","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","VIEW","SMS_SERVICE_PROVIDER","NACT","NACT"
"1","4","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","1","EDIT","SMS_SERVICE_PROVIDER","NACT","NACT"
"2","1","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","CREATE","USER_ACCOUNT","NACT","NACT"
"2","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","VIEW","USER_ACCOUNT","NACT","NACT"
"2","4","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","EDIT","USER_ACCOUNT","NACT","NACT"
"2","8","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","DELETE","USER_ACCOUNT","NACT","NACT"
"2","64","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","ASSIGN USER ROLE","USER_ACCOUNT","NACT","NACT"
"2","128","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","SSO CONECTION","USER_ACCOUNT","NACT","NACT"
"2","256","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","CHANGE STATUS","USER_ACCOUNT","NACT","NACT"
"2","512","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","RESET PASSWORD","USER_ACCOUNT","NACT","NACT"
"2","1024","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","RE-SEND ACTIVATIOR EMAIL","USER_ACCOUNT","NACT","NACT"
"2","1","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","CREATE","USER_ROLE","NACT","NACT"
"2","2","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","VIEW","USER_ROLE","NACT","NACT"
"2","4","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","EDIT","USER_ROLE","NACT","NACT"
"2","8","D","2018-08-15 13:51:50","4028816958dd6d840158e1a181f90005","2018-08-15 13:51:50",,"0","DELETE","USER_ROLE","NACT","NACT"
