"PARAM_ID","PARAM_CAT","PARAM_VALUE","DESCRIPTION","STATUS","DISPLAY_ORDER","CREATE_DATE","CREATE_BY","UPDATE_DATE","UPDATE_BY"
"SMS","SMS","SMS",,,"1","2018-08-17 13:20:54",,NULL,
"86","areaCode","China",,,NULL,"2018-08-17 13:20:54",,NULL,
"852","areaCode","China (Hong Kong SAR)",,,NULL,"2018-08-17 13:20:54",,NULL,
"91","areaCode","India",,,NULL,"2018-08-17 13:20:54",,NULL,
"63","areaCode","Philippines",,,NULL,"2018-08-17 13:20:54",,NULL,
"880","areaCode","Bangladesh",,,NULL,"2018-08-17 13:20:54",,NULL,
"62","areaCode","Indonesia",,,NULL,"2018-08-17 13:20:54",,NULL,
"61","areaCode","Australia",,,NULL,"2018-08-17 13:20:54",,NULL,
"66","areaCode","Thailand",,,NULL,"2018-08-17 13:20:54",,NULL,
"94","areaCode","Sri Lanka",,,NULL,"2018-08-17 13:20:54",,NULL,
"60","areaCode","Malaysia",,,NULL,"2018-08-17 13:20:54",,NULL,
"977","areaCode","Nepal",,,NULL,"2018-08-17 13:20:54",,NULL,
"92","areaCode","Pakistan",,,NULL,"2018-08-17 13:20:54",,NULL,
"65","areaCode","Singapore",,,NULL,"2018-08-17 13:20:54",,NULL,
"84","areaCode","Vietnam",,,NULL,"2018-08-17 13:20:54",,NULL,
