"ROLE_ID","FUNCTION_CODE","ACCESS_RIGHT","CREATE_DATE","CREATOR_ACC_ID","UPDATE_DATE","UPDATE_BY_ACC_ID","OPTLOCK_VER","BEFORE_ACTIVE","AFTER_ACTIVE"
"12","EXCHANGE_RATE_LISTING","RW","2018-12-05 15:59:12.019000","4028816958dd6d840158e1a181f90004","2018-12-21 11:19:43.561000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","NEW_EXCHANGE_RATE","RW","2018-12-05 15:59:12.085000","4028816958dd6d840158e1a181f90004","2018-12-21 11:19:43.579000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","PREPRODUCTION","RW","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000","2018-12-21 11:19:43.596000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","PRODUCTION","RW","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000","2018-12-21 11:19:43.611000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","UPLOAD_EXCHANGE_RATE_CSV","RW","2018-12-05 15:59:12.103000","4028816958dd6d840158e1a181f90004","2018-12-21 11:19:43.625000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","USER_ACCOUNT","","2018-12-05 15:59:12.122000","4028816958dd6d840158e1a181f90004","2018-12-21 11:19:43.644000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"12","USER_ROLE","","2018-12-05 15:59:12.149000","4028816958dd6d840158e1a181f90004","2018-12-21 11:19:43.667000","4028816958dd6d840158e1a181f90002","4","NACT","NACT"
"13","EXCHANGE_RATE_LISTING","RW","2018-12-05 15:59:53.062000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:09.346000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"13","NEW_EXCHANGE_RATE","RW","2018-12-05 15:59:53.082000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:09.370000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"13","PREPRODUCTION","RW","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000",NULL,NULL,"1","NACT","NACT"
"13","PRODUCTION","RW","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000",NULL,NULL,"1","NACT","NACT"
"13","UPLOAD_EXCHANGE_RATE_CSV","RW","2018-12-05 15:59:53.101000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:09.387000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"13","USER_ACCOUNT","","2018-12-05 15:59:53.120000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:09.405000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"13","USER_ROLE","","2018-12-05 15:59:53.141000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:09.426000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"14","EXCHANGE_RATE_LISTING","RW","2018-12-05 16:00:19.995000","4028816958dd6d840158e1a181f90004","2018-12-26 10:23:37.415000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","NEW_EXCHANGE_RATE","RW","2018-12-05 16:00:20.013000","4028816958dd6d840158e1a181f90004","2018-12-26 10:23:37.428000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","PREPRODUCTION","RW","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000","2018-12-26 10:23:37.440000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","PRODUCTION","RW","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000","2018-12-26 10:23:37.450000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","UPLOAD_EXCHANGE_RATE_CSV","RW","2018-12-05 16:00:20.030000","4028816958dd6d840158e1a181f90004","2018-12-26 10:23:37.466000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","USER_ACCOUNT","","2018-12-05 16:00:20.046000","4028816958dd6d840158e1a181f90004","2018-12-26 10:23:37.478000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"14","USER_ROLE","","2018-12-05 16:00:20.066000","4028816958dd6d840158e1a181f90004","2018-12-26 10:23:37.494000","4028816958dd6d840158e1a181f90002","8","NACT","NACT"
"15","EXCHANGE_RATE_LISTING","RW","2018-12-05 16:00:34.012000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:37.805000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"15","NEW_EXCHANGE_RATE","RW","2018-12-05 16:00:34.030000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:37.823000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"15","PREPRODUCTION","RW","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000",NULL,NULL,"1","NACT","NACT"
"15","PRODUCTION","RW","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000",NULL,NULL,"1","NACT","NACT"
"15","UPLOAD_EXCHANGE_RATE_CSV","RW","2018-12-05 16:00:34.047000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:37.840000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"15","USER_ACCOUNT","","2018-12-05 16:00:34.065000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:37.856000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"15","USER_ROLE","","2018-12-05 16:00:34.084000","4028816958dd6d840158e1a181f90004","2018-12-07 17:12:37.879000","ff80808167877b2f016787cd38560000","1","NACT","NACT"
"16","EXCHANGE_RATE_LISTING","","2018-12-05 16:00:52.828000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:22.654000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","NEW_EXCHANGE_RATE","","2018-12-05 16:00:52.845000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:22.667000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","PREPRODUCTION","D","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000","2018-12-24 16:19:22.680000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","PRODUCTION","D","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000","2018-12-24 16:19:22.693000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","UPLOAD_EXCHANGE_RATE_CSV","","2018-12-05 16:00:52.861000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:22.706000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","USER_ACCOUNT","","2018-12-05 16:00:52.879000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:22.725000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"16","USER_ROLE","","2018-12-05 16:00:52.900000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:22.744000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","EXCHANGE_RATE_LISTING","","2018-12-05 16:01:03.296000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:17.429000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","NEW_EXCHANGE_RATE","","2018-12-05 16:01:03.318000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:17.446000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","PREPRODUCTION","D","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000","2018-12-24 16:19:17.464000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","PRODUCTION","D","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000","2018-12-24 16:19:17.477000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","UPLOAD_EXCHANGE_RATE_CSV","","2018-12-05 16:01:03.340000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:17.490000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","USER_ACCOUNT","","2018-12-05 16:01:03.362000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:17.505000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"17","USER_ROLE","","2018-12-05 16:01:03.387000","4028816958dd6d840158e1a181f90004","2018-12-24 16:19:17.525000","4028816958dd6d840158e1a181f90002","2","NACT","NACT"
"18","EXCHANGE_RATE_LISTING","","2018-12-05 16:01:23.625000","4028816958dd6d840158e1a181f90004","2018-12-24 14:14:46.153000","ff80808167cee8450167dde0fa290000","7","NACT","NACT"
"18","NEW_EXCHANGE_RATE","","2018-12-05 16:01:23.642000","4028816958dd6d840158e1a181f90004","2018-12-24 14:14:46.197000","ff80808167cee8450167dde0fa290000","7","NACT","NACT"
"18","PREPRODUCTION","D","2018-12-19 16:27:29.000000","4028816958dd6d840158e1a181f90000","2018-12-24 14:14:46.215000","ff80808167cee8450167dde0fa290000","2","NACT","NACT"
"18","PRODUCTION","D","2018-12-19 16:27:41.000000","4028816958dd6d840158e1a181f90000","2018-12-24 14:14:46.230000","ff80808167cee8450167dde0fa290000","2","NACT","NACT"
