"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"12","EXCHANGE_RATE_LISTING","31","0"
"12","NEW_EXCHANGE_RATE","31","0"
"12","PREPRODUCTION","15","0"
"12","PRODUCTION","15","0"
"12","UPLOAD_EXCHANGE_RATE_CSV","31","0"
"13","EXCHANGE_RATE_LISTING","31","0"
"13","NEW_EXCHANGE_RATE","31","0"
"13","PREPRODUCTION","15","0"
"13","PRODUCTION","15","0"
"13","UPLOAD_EXCHANGE_RATE_CSV","31","0"
"14","EXCHANGE_RATE_LISTING","31","0"
"14","NEW_EXCHANGE_RATE","31","0"
"14","PREPRODUCTION","15","0"
"14","PRODUCTION","15","0"
"14","UPLOAD_EXCHANGE_RATE_CSV","31","0"
"15","EXCHANGE_RATE_LISTING","31","0"
"15","NEW_EXCHANGE_RATE","31","0"
"15","PREPRODUCTION","15","0"
"15","PRODUCTION","15","0"
"15","UPLOAD_EXCHANGE_RATE_CSV","31","0"
"18","USER_ACCOUNT","322","0"
"18","USER_ROLE","15","0"
"19","USER_ACCOUNT","322","0"
"19","USER_ROLE","15","0"
